,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
143,kanzi 2.3 -1,150.94,780.1,22874384,11156333,48.77,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
144,kanzi 2.3 -2,123.27,266.12,22874384,9335781,40.81,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
145,kanzi 2.3 -3,82.57,265.45,22874384,9549838,41.75,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
146,lizard 2.1 -10,332.9,2641.09,22874384,13224641,57.81,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
147,lizard 2.1 -11,189.32,2771.38,22874384,12324930,53.88,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
148,lizard 2.1 -12,109.61,2810.72,22874384,11651055,50.93,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
149,lizard 2.1 -13,71.91,2656.56,22874384,11406927,49.87,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
150,lizard 2.1 -14,67.62,2679.28,22874384,11267805,49.26,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
151,lz4 1.10.0,390.8,2520.79,22874384,13058816,57.09,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
152,lz4 1.10.0 --fast -3,481.72,2514.57,22874384,14067924,61.5,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
153,lz4 1.10.0 --fast -17,834.07,3475.52,22874384,17452261,76.3,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
154,lzav 4.22 -1,341.53,1786.97,22874384,12466503,54.5,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
155,lzav 4.22 -2,58.95,1523.31,22874384,10891462,47.61,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
156,lzf 3.6 -0,206.24,361.57,22874384,13204010,57.72,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
157,lzf 3.6 -1,198.29,358.73,22874384,13063194,57.11,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
158,lzfse 2017-03-08,61.8,438.57,22874384,9299376,40.65,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
159,lzo1b 2.10 -1,105.1,387.71,22874384,12754063,55.76,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
160,lzo1c 2.10 -1,112.07,408.02,22874384,12753844,55.76,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
161,lzof 2.10 -1,106.32,372.82,22874384,12311124,53.82,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
162,lzo1x 2.10 -1,316.06,416.78,22874384,12628614,55.21,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
163,lzo1y 2.10 -1,316.69,419.61,22874384,12667663,55.38,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
164,lzsse4fast 2019-04-18,164.39,1833.15,22874384,13380449,58.5,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
165,lzsse8 2019-04-18 -1,9.27,2660.23,22874384,11332627,49.54,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
166,lzvn 2017-03-08,41.31,549.61,22874384,10065822,44.0,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
167,quicklz 1.5.0 -1,267.74,299.29,22874384,12160516,53.16,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
168,quicklz 1.5.0 -2,134.31,279.88,22874384,11153513,48.76,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
169,snappy 1.2.1,295.29,756.94,22874384,13145412,57.47,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
170,zstd 1.5.7 -1,304.76,734.66,22874384,10166725,44.45,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
