Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
lz4 1.10.0 --fast -3,252.24,2276.90,6627202,3322020,50.13,silesia//reymont
lz4 1.10.0 --fast -17,338.07,1897.67,6627202,4403444,66.44,silesia//reymont
lzav 4.22 -1,226.23,1541.97,6627202,2567978,38.75,silesia//reymont
lzav 4.22 -2,63.76,1775.03,6627202,2140613,32.30,silesia//reymont
lzf 3.6 -0,179.47,298.99,6627202,3365987,50.79,silesia//reymont
lzf 3.6 -1,176.50,305.72,6627202,3253836,49.10,silesia//reymont
lzfse 2017-03-08,63.15,418.94,6627202,2009293,30.32,silesia//reymont
lzo1b 2.10 -1,145.07,319.44,6627202,3010857,45.43,silesia//reymont
lzo1c 2.10 -1,148.91,314.70,6627202,3116211,47.02,silesia//reymont
lzof 2.10 -1,128.83,280.67,6627202,3167020,47.79,silesia//reymont
lzo1x 2.10 -1,232.67,288.13,6627202,3170859,47.85,silesia//reymont
lzo1y 2.10 -1,237.76,285.51,6627202,3270577,49.35,silesia//reymont
lzsse4fast 2019-04-18,170.80,2653.68,6627202,2925190,44.14,silesia//reymont
lzsse8 2019-04-18 -1,12.16,3353.72,6627202,2402352,36.25,silesia//reymont
lzvn 2017-03-08,40.47,605.37,6627202,2439060,36.80,silesia//reymont
quicklz 1.5.0 -1,247.20,346.33,6627202,3003825,45.33,silesia//reymont
quicklz 1.5.0 -2,121.18,335.07,6627202,2560936,38.64,silesia//reymont
snappy 1.2.1,222.75,689.16,6627202,3204491,48.35,silesia//reymont
zstd 1.5.7 -1,204.50,922.73,6627202,2149170,32.43,silesia//reymont
zstd 1.5.7 -2,204.06,795.21,6627202,2067606,31.20,silesia//reymont
zstd 1.5.7 -3,172.68,878.68,6627202,1937973,29.24,silesia//reymont
zstd 1.5.7 -4,161.79,887.76,6627202,1917272,28.93,silesia//reymont
zstd 1.5.7 -5,89.84,829.20,6627202,1866701,28.17,silesia//reymont
memcpy,15544.00,15559.85,6152192,6152192,100.00,silesia//ooffice
fastlz 0.5.0 -1,119.25,340.42,6152192,4301654,69.92,silesia//ooffice
fastlz 0.5.0 -2,125.24,333.39,6152192,4259180,69.23,silesia//ooffice
kanzi 2.3 -1,134.37,717.90,6152192,3704780,60.22,silesia//ooffice
kanzi 2.3 -2,107.02,225.14,6152192,3198620,51.99,silesia//ooffice
kanzi 2.3 -3,69.61,209.56,6152192,3504884,56.97,silesia//ooffice
lizard 2.1 -10,295.44,2361.24,6152192,4370070,71.03,silesia//ooffice
lizard 2.1 -11,136.81,2557.97,6152192,4007112,65.13,silesia//ooffice
lizard 2.1 -12,89.76,2564.10,6152192,3854825,62.66,silesia//ooffice
lizard 2.1 -13,61.75,2561.99,6152192,3792243,61.64,silesia//ooffice
lizard 2.1 -14,58.32,2577.27,6152192,3763257,61.17,silesia//ooffice
lz4 1.10.0,359.66,2273.02,6152192,4338918,70.53,silesia//ooffice
lz4 1.10.0 --fast -3,497.37,2376.18,6152192,4733421,76.94,silesia//ooffice
lz4 1.10.0 --fast -17,1026.55,4942.12,6152192,5528929,89.87,silesia//ooffice
lzav 4.22 -1,311.68,1762.55,6152192,4046352,65.77,silesia//ooffice
lzav 4.22 -2,47.58,1419.70,6152192,3578306,58.16,silesia//ooffice
lzf 3.6 -0,158.41,298.87,6152192,4297787,69.86,silesia//ooffice
lzf 3.6 -1,149.40,291.34,6152192,4213660,68.49,silesia//ooffice
lzfse 2017-03-08,53.45,389.24,6152192,3109891,50.55,silesia//ooffice
lzo1b 2.10 -1,80.96,300.72,6152192,4193295,68.16,silesia//ooffice
lzo1c 2.10 -1,84.26,318.05,6152192,4178230,67.91,silesia//ooffice
lzof 2.10 -1,76.35,290.95,6152192,4082761,66.36,silesia//ooffice
lzo1x 2.10 -1,269.32,337.13,6152192,4159595,67.61,silesia//ooffice
lzo1y 2.10 -1,267.03,341.28,6152192,4179383,67.93,silesia//ooffice
lzsse4fast 2019-04-18,117.75,2030.18,6152192,3972687,64.57,silesia//ooffice
lzsse8 2019-04-18 -1,17.25,2593.67,6152192,3635572,59.09,silesia//ooffice
lzvn 2017-03-08,33.27,446.04,6152192,3365840,54.71,silesia//ooffice
quicklz 1.5.0 -1,213.63,249.22,6152192,4013859,65.24,silesia//ooffice
quicklz 1.5.0 -2,107.83,214.78,6152192,3722542,60.51,silesia//ooffice
snappy 1.2.1,250.86,735.17,6152192,4290349,69.74,silesia//ooffice
zstd 1.5.7 -1,265.91,650.15,6152192,3593224,58.41,silesia//ooffice
zstd 1.5.7 -2,224.51,624.06,6152192,3310851,53.82,silesia//ooffice
zstd 1.5.7 -3,155.91,589.90,6152192,3126146,50.81,silesia//ooffice
zstd 1.5.7 -4,132.57,594.15,6152192,3051862,49.61,silesia//ooffice
zstd 1.5.7 -5,75.14,592.28,6152192,2973052,48.33,silesia//ooffice
memcpy,15240.55,15430.87,9970564,9970564,100.00,silesia//mr
fastlz 0.5.0 -1,335.56,495.78,9970564,5102964,51.18,silesia//mr
fastlz 0.5.0 -2,276.92,484.44,9970564,5073384,50.88,silesia//mr
kanzi 2.3 -1,151.41,744.94,9970564,4519093,45.32,silesia//mr
kanzi 2.3 -2,126.49,276.49,9970564,3495873,35.06,silesia//mr
kanzi 2.3 -3,78.12,193.84,9970564,3262010,32.72,silesia//mr
lizard 2.1 -10,321.65,3144.63,9970564,6978486,69.99,silesia//mr
lizard 2.1 -11,215.46,2949.30,9970564,5663747,56.80,silesia//mr
lizard 2.1 -12,132.05,2884.26,9970564,4711113,47.25,silesia//mr
lizard 2.1 -13,77.99,2897.13,9970564,4584149,45.98,silesia//mr
lizard 2.1 -14,68.96,3008.83,9970564,4481961,44.95,silesia//mr
lz4 1.10.0,403.00,2806.59,9970564,5440937,54.57,silesia//mr
lz4 1.10.0 --fast -3,479.20,2782.25,9970564,5590948,56.07,silesia//mr
lz4 1.10.0 --fast -17,675.72,3296.04,9970564,6040318,60.58,silesia//mr
lzav 4.22 -1,317.32,1889.26,9970564,4847440,48.62,silesia//mr
lzav 4.22 -2,56.05,1629.45,9970564,4256854,42.69,silesia//mr
lzf 3.6 -0,332.36,491.24,9970564,5388536,54.04,silesia//mr
lzf 3.6 -1,383.89,540.78,9970564,4999202,50.14,silesia//mr
lzfse 2017-03-08,58.66,453.08,9970564,3580219,35.91,silesia//mr
lzo1b 2.10 -1,151.13,555.75,9970564,5024053,50.39,silesia//mr
lzo1c 2.10 -1,150.44,556.05,9970564,5064784,50.80,silesia//mr
lzof 2.10 -1,129.70,488.08,9970564,5225865,52.41,silesia//mr
lzo1x 2.10 -1,333.83,637.11,9970564,5335246,53.51,silesia//mr
lzo1y 2.10 -1,329.85,625.37,9970564,5490275,55.06,silesia//mr
lzsse4fast 2019-04-18,172.69,2182.13,9970564,7034206,70.55,silesia//mr
lzsse8 2019-04-18 -1,24.59,2976.21,9970564,4697617,47.11,silesia//mr
lzvn 2017-03-08,45.46,555.11,9970564,4465776,44.79,silesia//mr
