,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
146,lizard 2.1 -10,500.35,2783.79,21553561,11351907,52.67,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
147,lizard 2.1 -11,335.08,2682.63,21553561,10392895,48.22,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
148,lizard 2.1 -12,176.74,2848.95,21553561,9687538,44.95,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
149,lizard 2.1 -13,111.29,2880.68,21553561,9338576,43.33,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
150,lizard 2.1 -14,101.39,2912.79,21553561,9129416,42.36,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
151,lz4 1.10.0,594.74,3965.96,21553561,11282152,52.34,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
152,lz4 1.10.0 --fast -3,676.92,3925.99,21553561,12390401,57.49,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
153,lz4 1.10.0 --fast -17,1158.25,4584.72,21553561,16375410,75.98,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
154,lzav 4.22 -1,417.72,2185.73,21553561,9889346,45.88,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
155,lzav 4.22 -2,85.07,2139.04,21553561,8552073,39.68,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
156,lzf 3.6 -0,324.98,543.51,21553561,11910315,55.26,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
157,lzf 3.6 -1,317.98,553.67,21553561,11650101,54.05,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
158,lzfse 2017-03-08,84.2,712.62,21553561,7788498,36.14,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
159,lzo1b 2.10 -1,209.21,572.02,21553561,11373889,52.77,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
160,lzo1c 2.10 -1,238.85,595.63,21553561,11372352,52.76,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
161,lzof 2.10 -1,200.98,538.33,21553561,11055208,51.29,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
162,lzo1x 2.10 -1,474.67,577.65,21553561,11020103,51.13,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
163,lzo1y 2.10 -1,477.47,577.45,21553561,11086102,51.44,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
164,lzsse4fast 2019-04-18,262.98,4001.23,21553561,10550841,48.95,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
165,lzsse8 2019-04-18 -1,14.21,4617.79,21553561,9217218,42.76,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
